m000,m001,m003,m004,m005,m006,m007,m009,m010,m012,m013,m014,m015,m016,m017,m018,m019,m020,m022,m023,m024,m025,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m040,m041,m042,m044,m045,m046,m047,m049,m051,m052,m053,m054,m055,m056,m057,m059,m061,m062,m063
17.83518,14.054737,15.480904,21.789387,15.698925,15.128096,26.65246,14.96929,15.945578,15.228504,15.601622,15.324625,17.120533,14.495596,15.404994,16.769005,15.929018,44.648064,15.593384,14.742117,15.08306,11.685514,16.90123,13.783167,15.583565,15.914248,14.57225,18.151934,14.587185,17.035326,14.39016,14.863483,14.463947,14.633463,14.580553,15.694129,14.130857,12.185316,15.326727,16.58329,16.16296,16.641838,18.536652,13.877592,14.600623,14.173035,14.543188,16.85408,13.84619,12.452238,15.258434,15.544868,14.436844
17.841518,14.06132,15.506957,21.778389,15.709879,15.131963,26.66999,14.978796,15.952179,15.22903,15.611429,15.324686,17.128431,14.502312,15.408348,16.775635,15.938103,44.63745,15.604682,14.744293,15.093693,11.7027645,16.912403,13.788795,15.58526,15.917288,14.585403,18.154354,14.594423,17.04849,14.389782,14.86262,14.471037,14.639883,14.594948,15.713128,14.147594,12.191125,15.333912,16.588934,16.17409,16.644218,18.542105,13.881087,14.605421,14.18132,14.551031,16.863377,13.848398,12.450554,15.264324,15.553444,14.450151
17.859673,14.069426,15.528727,21.774292,15.71661,15.130148,26.683964,14.986242,15.948737,15.234302,15.642701,15.332581,17.143147,14.5173,15.415261,16.772873,15.948807,44.65221,15.612246,14.74645,15.104391,11.712381,16.926384,13.800732,15.595214,15.921091,14.60643,18.166504,14.598318,17.068317,14.398367,14.866133,14.479422,14.649101,14.607826,15.721628,14.154525,12.200449,15.347191,16.59702,16.190504,16.65607,18.562107,13.886277,14.611933,14.201218,14.562056,16.8775,13.850306,12.448339,15.274143,15.564125,14.455519
17.881588,14.0797,15.547901,21.776474,15.728795,15.130581,26.695744,14.996666,15.954802,15.239962,15.670176,15.3368225,17.155905,14.529814,15.424384,16.783184,15.957499,44.64235,15.615369,14.747351,15.113857,11.727673,16.935234,13.813862,15.604891,15.927856,14.635727,18.17752,14.609512,17.090794,14.402615,14.873474,14.492252,14.65601,14.630466,15.732906,14.165695,12.205193,15.361886,16.596405,16.197805,16.657547,18.57494,13.902415,14.62354,14.211905,14.578901,16.898323,13.854646,12.4501915,15.28903,15.574659,14.469056
17.902899,14.095139,15.565304,21.800327,15.745609,15.144459,26.724777,15.008849,15.958121,15.261743,15.687174,15.349158,17.168919,14.551508,15.432997,16.803284,15.965712,44.667458,15.628371,14.755507,15.129988,11.75156,16.956041,13.835482,15.620125,15.933499,14.680495,18.193474,14.629536,17.120909,14.416359,14.889262,14.508514,14.677038,14.6563635,15.758039,14.189108,12.21722,15.377222,16.623241,16.218262,16.67445,18.596165,13.914449,14.635134,14.235035,14.60135,16.895626,13.871698,12.451269,15.295802,15.588896,14.4817295
17.936798,14.116169,15.585373,21.83395,15.763514,15.164471,26.765944,15.030705,15.97628,15.288993,15.717118,15.369223,17.191994,14.58836,15.4524,16.824446,15.9884815,44.697124,15.65514,14.771111,15.14962,11.777704,16.991673,13.862669,15.650091,15.9398575,14.730613,18.22594,14.655182,17.160587,14.438368,14.91268,14.530066,14.704445,14.690453,15.77891,14.210943,12.235007,15.40223,16.648338,16.24726,16.706352,18.63832,13.9276905,14.660706,14.252921,14.632659,16.923151,13.896884,12.472482,15.316447,15.615395,14.5017605
17.971792,14.142673,15.6060295,21.87426,15.79755,15.1887245,26.8168,15.06268,16.011444,15.318621,15.745888,15.392302,17.21047,14.628191,15.475893,16.85902,16.014341,44.73439,15.692686,14.788189,15.170138,11.812043,17.021324,13.893057,15.686583,15.969108,14.788196,18.261908,14.689794,17.213556,14.464462,14.948301,14.565743,14.744397,14.734329,15.811632,14.245935,12.2534275,15.430189,16.67578,16.28064,16.739164,18.67744,13.944847,14.690793,14.288551,14.664093,16.957851,13.940649,12.494321,15.340355,15.637284,14.532406
18.01488,14.176572,15.635165,21.943756,15.840126,15.212279,26.88272,15.0949135,16.054432,15.359259,15.783182,15.421799,17.246223,14.672501,15.505988,16.894093,16.043907,44.789845,15.75199,14.8090725,15.203474,11.844369,17.056772,13.931587,15.719353,15.992602,14.835388,18.305092,14.721928,17.270885,14.501105,14.981901,14.601242,14.790279,14.775799,15.85349,14.292541,12.2849045,15.479806,16.712536,16.325768,16.77515,18.723394,13.969792,14.729467,14.330832,14.701683,16.996487,13.99046,12.530946,15.372587,15.656664,14.558063
18.067501,14.220302,15.680948,22.002203,15.894045,15.246012,26.922396,15.135983,16.106731,15.401525,15.817875,15.46088,17.28455,14.72435,15.5440035,16.932072,16.075592,44.851116,15.820114,14.843383,15.243343,11.888319,17.101974,13.977701,15.758983,16.041336,14.854614,18.346516,14.755711,17.33059,14.542931,15.031454,14.647839,14.850941,14.824965,15.90946,14.351103,12.322655,15.531416,16.753021,16.372112,16.808464,18.77777,14.003162,14.775378,14.384346,14.753258,17.074402,14.039764,12.568886,15.42068,15.694246,14.589156
18.10279,14.259652,15.72933,22.047161,15.936225,15.269951,26.955606,15.178276,16.152493,15.459767,15.845046,15.505072,17.324738,14.762001,15.584511,16.966228,16.107292,44.893448,15.873483,14.874325,15.277066,11.927358,17.137444,14.027239,15.78212,16.081331,14.84682,18.39666,14.786451,17.384645,14.577236,15.0783,14.691732,14.903908,14.854366,15.958868,14.393799,12.357567,15.566254,16.792103,16.41565,16.852734,18.832355,14.038744,14.817442,14.433746,14.794573,17.11919,14.072842,12.607964,15.463213,15.735996,14.611751
